Wire_ID,Source_Device,Source_Pin,Source_Signal,Target_Device,Target_Pin,Target_Signal,Voltage_Level,Component_Protection,Direction,Verification_Source,Status
W01,STM32,PB10,USART3_TX,MAX485_1,Pin_4_DI,Driver_Input,3.3V_TTL,Direct_or_1k,STM32->MAX485,main.c,FINAL
W02,MAX485_1,Pin_1_RO,Receiver_Output,STM32,PB11,USART3_RX,5.0V_CMOS,Direct_5V_FT,MAX485->STM32,Datasheet_Table_17,FINAL
W03,STM32,PB1,RS485_DE_RE,MAX485_1,Pins_2_3_DE_RE,Enable,3.3V_CMOS,Direct,STM32->MAX485,esp32_uart.c,FINAL
W04,ESP32-S3,GPIO8,UART1_TX,MAX485_2,Pin_4_DI,Driver_Input,3.3V_TTL,Direct_or_1k,ESP32->MAX485,ekran_kontrol.ino,FINAL
W05,MAX485_2,Pin_1_RO,Receiver_Output,Divider_Node,10k_Top,Voltage_Div,5.0V_CMOS,10k_Series_Resistor,MAX485->Node,Datasheet_Calculation,FINAL
W06,Divider_Node,Node_Output,Divider_Output,ESP32-S3,GPIO18,UART1_RX,3.21V_Max,18k_Pulldown_to_GND,Node->ESP32,ESP32_3.6V_Limit,FINAL
W07,ESP32-S3,GPIO5,RS485_DE_PIN,MAX485_2,Pins_2_3_DE_RE,Enable,3.3V_CMOS,Direct,ESP32->MAX485,ekran_kontrol.ino,FINAL
W08,ESP32-S3,GPIO17,TXD2,Nextion_HMI,RX_Wire,UART_RX,3.3V_TTL,Direct_or_1k,ESP32->Nextion,ekran_kontrol.ino,FINAL
W09,Nextion_HMI,TX_Wire,UART_TX,ESP32-S3,GPIO16,RXD2,3.3V_TTL,Direct_or_1k,Nextion->ESP32,ekran_kontrol.ino,FINAL
W10,ESP32-S3,GPIO4,ZC_SIM_PIN,STM32,PC7_CN5_2,EXTI7_Zero_Cross,3.3V_TTL,1k_Series_Resistor,ESP32->STM32,hardware_wiring_FINAL_AUTHORITY,FINAL
W11,STM32,PB12,X9C_CS_Pin,X9C103S,Pin_7_CS,Chip_Select,3.3V_CMOS,Direct,STM32->X9C,x9c103s.c,FINAL
W12,STM32,PB13,X9C_UD_Pin,X9C103S,Pin_2_UD,Up_Down_Control,3.3V_CMOS,Direct,STM32->X9C,x9c103s.c,FINAL
W13,STM32,PB14,X9C_INC_Pin,X9C103S,Pin_1_INC,Increment_Pulse,3.3V_CMOS,Direct,STM32->X9C,x9c103s.c,FINAL
W14,Nucleo_3V3,3.3V_Rail,3V3_OUT,X9C103S,Pin_3_VH,High_Terminal,3.3V_DC,Mandatory_3.3V,Nucleo->X9C,PA0_ADC_Protection,FINAL
W15,GND_Bus,Common_GND,GND_REF,X9C103S,Pin_6_VL,Low_Terminal,0V,Direct_to_Common_GND,GND_Bus->X9C,FN8158_Datasheet,FINAL
W16,GND_Bus,Common_GND,GND_REF,X9C103S,Pin_4_VSS,Ground,0V,Direct_to_Common_GND,GND_Bus->X9C,FN8158_Datasheet,FINAL
W17,Nucleo_5V,5V_Rail,5V_OUT,X9C103S,Pin_8_VCC,Power_Supply,5.0V_DC,Direct_to_Nucleo_5V,Nucleo->X9C,FN8158_Datasheet,FINAL
W18,X9C103S,Pin_5_VW,Wiper_Output,STM32,PA0,ADC1_IN1,0-3.3V_DC,1k_Series_Resistor,X9C->STM32,pt100_adc.c,FINAL
W19,STM32,PB15,HEATER_RELAY,SSR_Input,SSR_Pin,Relay_Actuation,3.3V_CMOS,Active_Pulldown_Bench_1k,STM32->Actuator,heater_relay.c,FINAL
W20,STM32,PC6,TRIAC_GATE,Optocoupler,MOC3021_Pin_1,Gate_Firing_Pulse,3.3V_Pulse,Active_Pulldown_Bench_1k,STM32->Actuator,main.c,FINAL
W21,GND_Bus,Common_GND,GND_REF,DIP_Switches,Switch_COM,Switch_Return,0V,Common_GND_Bus,GND_Bus->DIP_SW,Active_Low_Logic,FINAL
W22,DIP_SW_1,Switch_OUT_1,SW1_OUT,STM32,PC8,DIP_SW1_Pin,3.3V_Logic,Internal_PULLUP,DIP_SW->STM32,main.c,FINAL
W23,DIP_SW_2,Switch_OUT_2,SW2_OUT,STM32,PC9,DIP_SW2_Pin,3.3V_Logic,Internal_PULLUP,DIP_SW->STM32,main.c,FINAL
W24,DIP_SW_3,Switch_OUT_3,SW3_OUT,STM32,PC10,DIP_SW3_Pin,3.3V_Logic,Internal_PULLUP,DIP_SW->STM32,main.c,FINAL
W25,DIP_SW_4,Switch_OUT_4,SW4_OUT,STM32,PC11,DIP_SW4_Pin,3.3V_Logic,Internal_PULLUP,DIP_SW->STM32,main.c,FINAL
W26,Nucleo_5V,5V_Rail,5V_OUT,MAX485_1,Pin_8_VCC,Transceiver_Power,5.0V_DC,Direct_to_Nucleo_5V,Nucleo->MAX485_1,MAX485ESA_Datasheet,FINAL
W27,GND_Bus,Common_GND,GND_REF,MAX485_1,Pin_5_GND,Transceiver_Ground,0V,Direct_to_Common_GND,GND_Bus->MAX485_1,MAX485ESA_Datasheet,FINAL
W28,ESP32_5V,5V_Rail,5V_OUT,MAX485_2,Pin_8_VCC,Transceiver_Power,5.0V_DC,Direct_to_ESP32_5V,ESP32->MAX485_2,MAX485ESA_Datasheet,FINAL
W29,GND_Bus,Common_GND,GND_REF,MAX485_2,Pin_5_GND,Transceiver_Ground,0V,Direct_to_Common_GND,GND_Bus->MAX485_2,MAX485ESA_Datasheet,FINAL
W30,MAX485_1,Pin_6_A,Differential_A,MAX485_2,Pin_6_A,Differential_A,+/-1.5V..5V,120_Term_Resistor_A,Bus_Interconnect,Twisted_Pair_Line_A,FINAL
W31,MAX485_1,Pin_7_B,Differential_B,MAX485_2,Pin_7_B,Differential_B,+/-1.5V..5V,120_Term_Resistor_B,Bus_Interconnect,Twisted_Pair_Line_B,FINAL
W32,GND_Bus,Common_GND,GND_REF,Common_Shield,Drain_Wire,Shield_Return,0V,Bus_Shield_Drain_Wire,Bus_Interconnect,Common_Reference,FINAL
